//X	Y	Z	Deviation[]	Amplitude[dB]	Reflectance[dB]
-5.886250019	18.942249298	-1.313750029	1.0000000000	20.1000003815	-5.9699997902
-5.872250080	18.943000793	-1.314000010	6.0000000000	22.6499996185	-7.8699998856
-5.866000175	18.940250397	-1.316750050	2.0000000000	22.8700008392	-7.6599998474
-5.868750095	18.941999435	-1.315750003	1.0000000000	19.3600006104	-6.7100000381
-5.865749836	18.940000534	-1.314499974	0.0000000000	20.2199993134	-6.5399999619
-5.863500118	18.937250137	-1.317749977	1.0000000000	20.3899993896	-5.6799998283
-5.856999874	18.939750671	-1.319000006	3.0000000000	20.2299995422	-6.5300002098
-5.858250141	18.943000793	-1.313249946	1.0000000000	22.1399993896	-4.6199998856
-5.846749783	18.935249329	-1.319000006	1.0000000000	20.7700004578	-5.3000001907
-5.855000019	18.937500000	-1.316249967	3.0000000000	20.2800006866	-5.7899999619
-5.849750042	18.937500000	-1.320000052	1.0000000000	20.3600006104	-6.4099998474
-5.855000019	18.940000534	-1.317250013	1.0000000000	22.8899993896	-7.6399998665
-5.853499889	18.939250946	-1.312999964	4.0000000000	22.7399997711	-7.7899999619
-5.849750042	18.937250137	-1.313249946	1.0000000000	20.6599998474	-6.1100001335
-5.841249943	18.937000275	-1.318750024	5.0000000000	22.1599998474	-8.3800001144
-5.843500137	18.939750671	-1.318500042	2.0000000000	21.2999992371	-5.4699997902
-5.841750145	18.940750122	-1.318750024	3.0000000000	16.7600002289	-6.9800000191
-5.842750072	18.937749863	-1.315250039	2.0000000000	22.4200000763	-8.1199998856
-5.838749886	18.935749054	-1.322000027	1.0000000000	20.3600006104	-5.6999998093
-5.824250221	18.937749863	-1.320749998	1.0000000000	23.5799999237	-6.9600000381
-5.832749844	18.937000275	-1.316750050	5.0000000000	22.8600006104	-7.6799998283
-5.835000038	18.937999725	-1.317999959	1.0000000000	21.4799995422	-5.2899999619
-5.837999821	18.936750412	-1.314499974	1.0000000000	20.0499992371	-6.0100002289
-5.834000111	18.937500000	-1.312999964	3.0000000000	22.9599990845	-7.5799999237
-5.831999779	18.936750412	-1.319749951	4.0000000000	22.9200000763	-7.6199998856
-5.829249859	18.937999725	-1.320000052	2.0000000000	20.5699996948	-5.4899997711
-5.824749947	18.937999725	-1.317000031	2.0000000000	23.7399997711	-6.8000001907
-5.828999996	18.940250397	-1.317999959	1.0000000000	22.1700000763	-4.5999999046
-5.829249859	18.937000275	-1.312250018	1.0000000000	19.7500000000	-6.3099999428
-5.826499939	18.938749313	-1.314000010	2.0000000000	23.2000007629	-7.3400001526
-5.878250122	18.941249847	-1.305500031	1.0000000000	20.7399997711	-5.3299999237
